,Product_name,Rate,Reviews,Price,Offer
0,"Aroma NB120 Amaze Upto 50 Hours Playtime*, Fast Chargin...",3.8,"(1,51,206)",₹280,87% off
1,"TRIGGR Trinity 2 with Dual Pairing, ENC, Fast Charge, 5...",3.9,"(16,396)",₹699,76% off
2,F FERONS Wireless Headphone BT 5.0 Over Ear Foldable wi...,3.8,"(21,635)",₹298,88% off
3,BULLSTORM BS ultrapood Bluetooth Gaming,3.4,"(31,641)",₹298,88% off
4,"Aroma NB119 TItanium Pro Upto 100 Hr Playtime*,ENC,Fast...",4,"(3,74,414)",₹299,80% off
5,"Caidea CNB100 Fog Upto 100 Hrs* Music,ENC,Voice Changer...",3.9,"(3,434)",₹300,89% off
6,"ZEBRONICS Zeb- Thunder, With 60H Backup, BT v5.3, Gamin...",4,"(1,33,132)",₹749,55% off
7,"TWS Immersive Stereo Headphones with Mic, SD Card Suppo...",,,₹394,90% off
8,NEXX ARHAM TWS BLUETOOTH HEADSET WIRELESS TWINS WITH GO...,3.6,"(15,282)",₹298,82% off
9,"Aroma NB119 Titanium Pro Upto 100 Hr Playtime*,ENC,Fast...",4,"(3,74,414)",₹299,80% off
10,"boAt Rockerz 430, 40ms Latency, 40H Battery, Stream Ad ...",4.1,"(58,517)","₹1,199",51% off
11,"Caidea CNB100 Bullet Z2 Upto 100 Hrs* Music,ENC,Magneti...",3.7,"(2,559)",₹300,88% off
12,"boAt Rockerz 371, 40mm Drivers, 50H Battery, BEAST Mode...",4,"(1,326)",₹999,66% off
13,TECHIO K181 | Storm Max 50Hr Playtime Punchy Bass Pro G...,,,₹380,80% off
14,allons TWS Bluetooth Earbuds True Wireless Headphone wi...,3.8,(461),₹267,83% off
15,"Aroma NB126 Berry V5.4 Upto 60Hr Playtime* Dual Paring,...",3.8,"(68,337)",₹496,83% off
16,"Caidea TW301 Blogger Upto 40H Playtime*,ENC,Dual Pairin...",3.3,"(4,307)",₹294,89% off
17,"GOBOULT Mustang Thunder 70H Battery, ENC Mic, 40mm Driv...",4.2,"(4,271)","₹2,999",62% off
18,"Gripzo CY - T2 8D Stereo Audio, AI ENC Mic, 48H Playtim...",,,₹636,78% off
19,"boAt Rockerz 371, 40mm Drivers, 50H Battery, BEAST Mode...",4,"(1,326)",₹999,66% off
20,"Caidea TW500 Tube Upto 50H Playtime*, ENC, Fast Chargin...",3.7,"(18,665)",₹399,86% off
21,"GOBOULT Tenet 75Hrs Battery, App Support, Dual Pairing,...",4.2,"(1,608)","₹1,499",72% off
22,"boAt Rockerz 425,25H Battery, BEAST Mode,ENx,Dual Pair,...",4.1,"(58,517)","₹1,099",92% off
23,TECHIO Black Earbuds | True Wireless Stereo | Noise Can...,3.6,"(12,130)",₹248,86% off
24,Hectic Black Earbuds With Premium Quality Sound Bluetoo...,3.6,"(10,697)",₹262,78% off
25,"boAt Rockerz 412, 60H Battery,40ms Latency,ENx, Stream ...",4.2,"(4,04,466)","₹1,299",56% off
26,"Noise TWO with 50 Hours Playtime, Low latency (up to 42...",4,"(17,819)","₹1,399",72% off
27,"Aroma NB120 Amaze Upto 50 Hrs* Playtime, Dual Pairing F...",3.8,"(1,51,206)",₹280,89% off
28,TECHIO K561 | Vibe Pods 40Hr Music Time Boom Bass Pro G...,,,₹380,80% off
29,"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)...",4.2,"(11,895)","₹1,599",57% off
30,"Caidea CNB100 Fog Upto 100 Hrs* Music,ENC,Voice Changer...",3.9,"(3,434)",₹300,89% off
31,j&b Bullets Wireless B2 Premium Neckband With 50Hrs Pla...,3.6,"(6,385)",₹370,81% off
32,"GWALBROS New White Bluetooth Earbuds, True Wireless Hea...",3.6,"(4,850)",₹251,87% off
33,TECHIO K573 | Thunder Pro 48Hr Battery Punchy Bass Pro ...,,,₹380,80% off
34,"ZEBRONICS Thunder, With 60H Backup, BT v5.3, Gaming Mod...",4,"(1,33,132)",₹749,55% off
35,Aroma NB121 Corridor Upto 40 Hours Playtime* Fast Charg...,3.9,"(4,25,882)",₹239,81% off
36,"Aroma NB120 Amaze Upto 50 Hours Playtime*, Fast Chargin...",3.8,"(1,51,206)",₹280,89% off
37,"Noise TWO with 50 Hours Playtime, Low latency (up to 41...",4,"(17,819)","₹1,699",66% off
38,"boAt Rockerz 413,60H Battery,ENx, BEAST Mode, Dual Pair...",4.2,"(4,04,466)","₹1,299",56% off
39,"ZEBRONICS ZEB-BRO, With In-Line MiC, 3.5mm Jack, 10mm d...",3.7,"(1,30,156)",₹136,65% off
