brand,km_driven,fuel,owner,selling_price
Mahindra,163399,Diesel,First Owner,397238
BMW,148281,CNG,First Owner,542402
Fiat,182515,LPG,First Owner,539706
Nissan,18029,CNG,Second Owner,337551
Skoda,191069,Electric,Fourth Owner,217011
Mahindra,105171,Petrol,Third Owner,309153
Volvo,117456,LPG,Third Owner,469386
Nissan,65559,Diesel,Second Owner,174506
Nissan,67892,Electric,Fourth Owner,334513
Toyota,73409,LPG,Fourth Owner,90733
Skoda,142707,Diesel,Second Owner,400579
Honda,36065,LPG,First Owner,99008
Hyundai,123544,Electric,Fourth Owner,573343
MG,110340,LPG,Third Owner,129134
Tata,36783,CNG,Second Owner,365034
Hyundai,37152,Electric,Third Owner,427403
Maruti,61741,LPG,First Owner,484720
MG,110049,Petrol,Second Owner,496590
MG,185574,LPG,Third Owner,341548
Datsun,32092,CNG,Third Owner,377367
Kia,151725,Diesel,First Owner,415330
Jeep,174541,Diesel,Second Owner,327972
Fiat,89483,Diesel,Fourth Owner,234616
Fiat,124585,Petrol,Fourth Owner,534948
Volvo,62754,CNG,Third Owner,78704
MG,164050,Electric,First Owner,141411
BMW,90592,Diesel,Third Owner,597929
Honda,97543,CNG,First Owner,349623
Ford,46169,LPG,Fourth Owner,259843
Volvo,182359,Petrol,Third Owner,355056
Mahindra,57745,CNG,Third Owner,556313
Renault,113168,CNG,First Owner,420371
Mahindra,116985,Electric,Second Owner,535774
Isuzu,8543,CNG,First Owner,252546
Toyota,190464,Electric,Second Owner,178773
Chevrolet,24067,Petrol,Fourth Owner,159658
Isuzu,54033,Petrol,Third Owner,349386
Renault,48256,LPG,Third Owner,157966
Hyundai,156263,Electric,First Owner,227297
BMW,89803,Electric,First Owner,441401
Fiat,121843,Diesel,Fourth Owner,380453
Mahindra,31992,Diesel,Fourth Owner,160078
MG,51803,LPG,Second Owner,146242
Skoda,112975,Petrol,Fourth Owner,493092
Fiat,197549,Diesel,Fourth Owner,178863
Honda,147282,CNG,Fourth Owner,90478
Chevrolet,29270,Petrol,Fourth Owner,209574
Datsun,196080,CNG,Second Owner,325538
Toyota,139269,Electric,Fourth Owner,279766
Isuzu,10452,Petrol,Second Owner,54487
Skoda,44486,LPG,First Owner,308432
Toyota,17859,Electric,Third Owner,158924
Hyundai,161308,Electric,First Owner,456786
Tata,165971,CNG,Fourth Owner,79605
Kia,35083,Electric,Third Owner,250180
Toyota,70708,Diesel,Fourth Owner,143375
Isuzu,114462,Petrol,Fourth Owner,491923
MG,150735,Diesel,First Owner,372904
Hyundai,96076,CNG,Fourth Owner,355983
Kia,22053,CNG,First Owner,577930
Toyota,145157,Petrol,Fourth Owner,557866
Chevrolet,164636,Electric,Second Owner,363905
Jeep,92745,LPG,Third Owner,583910
Fiat,193167,CNG,First Owner,98423
Skoda,72517,Petrol,First Owner,97565
Chevrolet,155225,LPG,Third Owner,535462
Skoda,139319,Electric,First Owner,56220
Jeep,144625,CNG,Third Owner,177636
Volkswagen,154883,Petrol,Second Owner,550846
Isuzu,140207,Petrol,Fourth Owner,465721
Fiat,139645,Petrol,Second Owner,331253
Volkswagen,82267,CNG,Fourth Owner,446713
Renault,141261,LPG,Third Owner,107326
Fiat,83077,Petrol,Second Owner,59864
Volkswagen,177718,Electric,Fourth Owner,399706
Maruti,79623,Petrol,Third Owner,124310
Mahindra,134004,LPG,Fourth Owner,431598
Renault,56687,CNG,First Owner,293415
Maruti,71312,Petrol,First Owner,445037
MG,110615,Petrol,Third Owner,488701
Skoda,133976,Electric,Fourth Owner,133557
Nissan,30564,Electric,First Owner,237460
Volvo,31835,Petrol,Second Owner,60372
Datsun,195659,Petrol,Fourth Owner,549900
Skoda,10697,Electric,Fourth Owner,150050
Honda,83165,LPG,First Owner,383477
Honda,151118,Diesel,First Owner,328427
Maruti,60823,Diesel,Third Owner,90857
Ford,187442,Petrol,Fourth Owner,145856
Kia,12615,Electric,Second Owner,474477
Mahindra,139132,CNG,First Owner,272368
Renault,133499,CNG,Fourth Owner,257746
Mahindra,79436,Diesel,First Owner,474824
Renault,194591,LPG,Third Owner,587426
Skoda,123562,Diesel,Fourth Owner,480909
MG,74117,Petrol,Fourth Owner,283829
Hyundai,195230,LPG,Third Owner,97547
Maruti,37782,CNG,Second Owner,324244
Jeep,81533,Electric,First Owner,360074
Ford,192327,Electric,Third Owner,257977
Honda,75684,Petrol,Fourth Owner,519092
MG,190990,Diesel,Third Owner,128944
Skoda,82558,Petrol,Fourth Owner,494056
Honda,84422,Electric,Third Owner,541592
Maruti,159328,CNG,Second Owner,319861
Honda,164077,Electric,Fourth Owner,259939
Ford,9638,LPG,Third Owner,260544
Fiat,40419,Electric,Second Owner,234740
Chevrolet,36377,Electric,Second Owner,101645
Honda,109244,LPG,First Owner,529367
Maruti,177188,Diesel,Fourth Owner,148039
Ford,170706,Electric,First Owner,227452
Chevrolet,26382,Petrol,Second Owner,448944
Mahindra,190135,Electric,First Owner,344944
Renault,156466,Petrol,First Owner,585174
Fiat,70789,LPG,Third Owner,522830
Fiat,113634,Electric,First Owner,250981
Kia,134936,LPG,Second Owner,228308
Volkswagen,102572,LPG,First Owner,162765
Volvo,174294,Diesel,Fourth Owner,78688
Mahindra,147738,Electric,Third Owner,335233
Datsun,126664,Petrol,Second Owner,499158
BMW,155027,Petrol,First Owner,300322
Toyota,113674,Electric,Fourth Owner,300483
Ford,106533,Diesel,Second Owner,52438
Mahindra,84845,Diesel,First Owner,405239
Volkswagen,72590,Diesel,Third Owner,466428
Fiat,130775,Petrol,First Owner,515393
Nissan,69471,LPG,Second Owner,198055
Toyota,46298,Diesel,Second Owner,432312
Volkswagen,197180,Petrol,Second Owner,567951
Mahindra,51924,Petrol,Fourth Owner,101039
Volvo,150781,LPG,First Owner,528388
Hyundai,12726,Electric,First Owner,456321
Kia,194896,Electric,First Owner,281120
Volkswagen,43542,Diesel,Third Owner,379326
Tata,154317,Diesel,Fourth Owner,76515
MG,37753,LPG,Fourth Owner,270370
MG,82788,Diesel,Third Owner,421735
BMW,24316,LPG,Fourth Owner,274215
Nissan,87698,Petrol,Third Owner,540073
Mahindra,18960,Diesel,Second Owner,484171
Maruti,33791,Petrol,Second Owner,259637
Maruti,28216,CNG,Fourth Owner,369052
BMW,166539,LPG,Second Owner,507283
Volkswagen,67427,CNG,Second Owner,299708
Renault,115470,Diesel,Second Owner,498912
Honda,196119,Petrol,First Owner,257748
Mahindra,76290,Diesel,Second Owner,297387
Tata,50014,CNG,First Owner,471990
Skoda,138150,Diesel,Third Owner,583415
Renault,53519,Electric,Third Owner,168251
Ford,7042,CNG,Third Owner,543322
Maruti,52052,Diesel,Third Owner,239836
Volvo,17389,Petrol,Third Owner,106795
Kia,98961,Diesel,Second Owner,171729
MG,71111,Petrol,Second Owner,294620
Fiat,108058,Electric,Second Owner,86079
Renault,96715,Diesel,Third Owner,134225
BMW,53733,Electric,Third Owner,598547
Datsun,37754,CNG,First Owner,338715
Datsun,152696,Petrol,Fourth Owner,101119
BMW,88886,CNG,Second Owner,320153
MG,160753,Petrol,Fourth Owner,160210
Mahindra,92524,Electric,Third Owner,553747
Hyundai,84006,LPG,Third Owner,373973
Honda,27704,Diesel,Third Owner,350374
Datsun,97913,Electric,Fourth Owner,161364
Ford,97108,Petrol,First Owner,368193
Datsun,10493,Petrol,Third Owner,413906
Datsun,72639,Petrol,First Owner,435417
Datsun,57383,Petrol,First Owner,431610
Hyundai,137066,Diesel,Second Owner,483531
Hyundai,50234,CNG,Fourth Owner,351335
Ford,181363,LPG,Third Owner,235525
Maruti,131674,Diesel,First Owner,62453
Maruti,8594,Petrol,Fourth Owner,170848
Volvo,10371,Diesel,Fourth Owner,493541
Hyundai,50315,Electric,Third Owner,422924
MG,130251,Petrol,Second Owner,95706
Tata,82526,LPG,Second Owner,573324
Toyota,150698,Petrol,First Owner,558197
Nissan,89005,LPG,Second Owner,223889
Datsun,108573,LPG,Second Owner,110964
Tata,141202,CNG,Second Owner,496894
Ford,140900,CNG,Fourth Owner,252222
BMW,60514,Diesel,Third Owner,409523
Hyundai,186736,Diesel,Fourth Owner,578089
Tata,151955,LPG,Fourth Owner,484264
Nissan,177131,Petrol,Third Owner,162364
Jeep,177004,Electric,Fourth Owner,504933
Jeep,195341,Electric,First Owner,203552
Maruti,78986,Petrol,First Owner,68637
Renault,88959,Petrol,Fourth Owner,503520
Tata,5035,CNG,Second Owner,368316
Jeep,112767,Electric,Fourth Owner,75437
Honda,174817,LPG,Second Owner,451365
BMW,20241,Diesel,Fourth Owner,457887
Toyota,55975,CNG,First Owner,546221
Volvo,157226,Electric,Second Owner,73119
Honda,159697,Petrol,First Owner,280389
Volvo,179022,Electric,Fourth Owner,459495
BMW,59396,LPG,Third Owner,280882
Mahindra,121920,CNG,Second Owner,307157
BMW,147403,Petrol,Second Owner,526113
Renault,197999,LPG,Fourth Owner,68201
Maruti,89226,Diesel,Fourth Owner,307636
Skoda,87719,CNG,Second Owner,78634
Mahindra,66014,LPG,Third Owner,454042
Isuzu,42346,LPG,Fourth Owner,398965
Skoda,73411,Petrol,Fourth Owner,555341
Maruti,188550,Diesel,Fourth Owner,357919
Nissan,146326,LPG,Third Owner,438690
Isuzu,189806,CNG,Second Owner,164090
Kia,162693,LPG,First Owner,56798
Honda,79441,Electric,Fourth Owner,558377
Mahindra,49121,CNG,Third Owner,509319
Jeep,63197,CNG,Second Owner,127751
Jeep,87577,LPG,Second Owner,232482
BMW,97634,Petrol,Third Owner,353032
Datsun,176503,CNG,Fourth Owner,361191
Hyundai,103211,Electric,First Owner,421784
Maruti,138909,Petrol,Fourth Owner,414758
Jeep,183066,Petrol,Second Owner,95955
MG,146687,Petrol,First Owner,293465
Ford,4466,CNG,Fourth Owner,522334
Ford,33771,Petrol,First Owner,351409
Renault,86886,LPG,Third Owner,94350
Renault,68911,Petrol,Fourth Owner,196450
Honda,154818,Electric,Second Owner,299406
Volvo,91422,Diesel,Second Owner,250887
Jeep,194811,Electric,First Owner,57312
Jeep,76369,CNG,Third Owner,163744
Honda,4893,Petrol,Fourth Owner,281745
BMW,33573,Petrol,Third Owner,267522
Maruti,99907,LPG,Third Owner,328336
BMW,174946,Petrol,First Owner,238297
Nissan,102956,Electric,First Owner,148991
Datsun,121580,CNG,Fourth Owner,128711
Skoda,167439,Diesel,Second Owner,56774
Toyota,155271,Petrol,Fourth Owner,474502
Tata,94404,Diesel,Third Owner,278552
Skoda,60724,Petrol,First Owner,137513
BMW,89133,CNG,Third Owner,376158
Honda,170477,Electric,First Owner,256924
Jeep,18989,CNG,Second Owner,239702
Honda,31931,Diesel,Third Owner,296968
Isuzu,12290,Petrol,First Owner,57466
Chevrolet,172439,Diesel,Fourth Owner,442568
Isuzu,124136,Electric,Fourth Owner,118745
Hyundai,82878,CNG,Fourth Owner,184150
Honda,93477,Diesel,Third Owner,577831
Jeep,129299,Diesel,First Owner,434934
Renault,164205,Electric,First Owner,537843
Toyota,108686,Petrol,First Owner,101052
Maruti,161124,Diesel,Third Owner,596352
Toyota,110286,Electric,First Owner,526848
Maruti,43475,Petrol,Second Owner,64425
Chevrolet,85666,Petrol,Third Owner,363625
Jeep,99622,CNG,Second Owner,127347
BMW,191728,Electric,Second Owner,526330
Skoda,138705,Petrol,Fourth Owner,566066
Mahindra,151376,CNG,Third Owner,530042
Honda,110573,LPG,First Owner,100530
Datsun,49546,Electric,Second Owner,393243
Maruti,10008,LPG,Third Owner,338032
Jeep,51291,Petrol,First Owner,558653
MG,161477,Electric,Fourth Owner,377980
Volvo,39386,CNG,Third Owner,218535
Chevrolet,93909,Petrol,Third Owner,463437
Tata,154899,Electric,Third Owner,552270
Tata,36040,Electric,First Owner,178345
Volkswagen,63354,LPG,Second Owner,529053
Volvo,81543,Petrol,Second Owner,79251
Skoda,21157,CNG,Third Owner,489802
Hyundai,38315,CNG,Third Owner,584328
Maruti,38932,Petrol,First Owner,226950
Fiat,155236,Petrol,Fourth Owner,449185
Maruti,148486,Diesel,Third Owner,63162
Ford,148399,LPG,Third Owner,311989
Jeep,116880,Petrol,Fourth Owner,386811
Volvo,135018,Petrol,Third Owner,440802
Toyota,17693,Diesel,Second Owner,579325
Honda,30241,Diesel,Third Owner,372670
Datsun,118194,Electric,Second Owner,195765
Datsun,98790,CNG,First Owner,569405
MG,149612,LPG,First Owner,109090
Chevrolet,75255,Electric,Second Owner,449178
Tata,198829,Petrol,Second Owner,540167
Honda,175275,Diesel,Fourth Owner,401696
Renault,159153,CNG,Second Owner,328588
Ford,195933,Electric,Second Owner,352587
Datsun,14350,CNG,Third Owner,481600
Chevrolet,189584,Diesel,Fourth Owner,559090
Honda,59809,Electric,Second Owner,409373
Maruti,104894,Electric,Second Owner,424458
BMW,100557,CNG,Second Owner,563062
Maruti,176904,Diesel,Third Owner,598536
Honda,162441,Petrol,Third Owner,489378
Isuzu,34728,Electric,Third Owner,439665
Kia,20576,Petrol,First Owner,118008
Honda,163073,Diesel,Third Owner,93237
Skoda,86384,Electric,Second Owner,320248
Chevrolet,3390,Electric,Third Owner,402410
Isuzu,48436,Petrol,Third Owner,220632
Fiat,14569,LPG,Fourth Owner,321698
Hyundai,147101,Petrol,Second Owner,550223
Kia,25490,Petrol,Third Owner,227059
Hyundai,48875,LPG,First Owner,98167
Datsun,8867,Diesel,Fourth Owner,297605
Skoda,83820,Diesel,Third Owner,379382
Maruti,102515,Electric,Fourth Owner,296150
Renault,12121,CNG,Fourth Owner,67038
Nissan,4539,CNG,First Owner,465435
Jeep,151099,Electric,First Owner,124491
Mahindra,130402,CNG,First Owner,597404
Kia,77229,Petrol,Second Owner,318818
Honda,142993,Petrol,Fourth Owner,460685
Isuzu,53435,LPG,Third Owner,317590
Volkswagen,144382,LPG,First Owner,174809
Mahindra,66965,Electric,First Owner,576251
Toyota,114048,Electric,Fourth Owner,420425
Volkswagen,99444,Electric,Fourth Owner,579465
BMW,72922,Petrol,Fourth Owner,61160
Maruti,100799,CNG,Third Owner,415020
Skoda,96948,Electric,Second Owner,57543
Chevrolet,146314,Electric,Second Owner,198293
Jeep,11947,Petrol,First Owner,446539
Chevrolet,195888,Petrol,Second Owner,288913
MG,51785,Petrol,Third Owner,388295
Volvo,122963,CNG,Second Owner,379112
Fiat,3507,Electric,Third Owner,189402
Hyundai,161223,Diesel,First Owner,225225
Hyundai,14618,Diesel,Fourth Owner,326016
Volvo,77286,Electric,Third Owner,112714
Datsun,19122,Electric,Fourth Owner,420866
BMW,141426,Electric,First Owner,50415
Kia,112598,Electric,Third Owner,154448
Tata,165051,CNG,Third Owner,322032
Fiat,89436,Diesel,Second Owner,226371
